"","geoid2","date","month","day","year","elapsed","date_rep","cases","deaths","country","population_2019","continent","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","pop_den_2018","life_exp_2017","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","state_fragility","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","days_rel_lockdown","days_rel_distancing","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_mean","precip","excess_deaths_weekly","excess_deaths_source","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"197","UZB","2020-11-30","11","29","2020","334","2020-11-30","461","1","Uzbekistan","32981715","Asia","7.965","72870","608","6.412","603","0.007","Europe & Central Asia","-0.547","67.846","","7.592","32.955","632244","824084","14.933","624702706.364","77.469","7.477","3.917","0.859","","20.636","","28.686","-9","","0.349","0.554","3","0.13","-1.365","-1.474","0.596","0.639","0.147","0.72","","13.922","97.143","0","","1","0","1787","633","1756","633","0.002","","0","","","","0","25.3","0.038","0.413","0.213","0.485","0.345","100","34.3","77.469","71.388","1.955","19.4","245.1","400","100","62.9","100","192","0.7","16","27.8","11","0","4.419","3.495","4.35","","","","","","","","","","","","","","","","","","","","","","","","19.5","6.633","","","","","","18.449","2.968","","","UZB","77","257","124","210"
"36","CHN","2020-11-30","11","29","2020","334","2020-11-30","18","0","China","1433783692","Asia","0.012","91814","4739","8.464","4739","0","East Asia & Pacific","0.477","38.246","","16.182","1392.73","71497278","80601282","20.231","203492014029.265","148.349","27.888","0.071","0.335","35.58","31.269","43.813","17.877","-7","41.8","0.16","0.284","34","0.071","-1.966","-1.538","-0.612","0.442","-0.463","0.536","","62.694","91.845","0","1.512","1","0","","","","","","","0","1","5327","","1","37.4","0.058","0.154","0.664","0.154","0.418","96.9","48.2","148.349","76.47","3.087","48.5","181.2","420","95.1","77.9","75","442","0.8","45.7","48.6","7","","10.921","7.239","5","","","","","","","","","","","","","","","","","","","","","","","","14.3","73.967","","","","","","3.403","1.482","","","CHN","-1","335","21","313"
"158","QAT","2020-11-30","11","29","2020","334","2020-11-30","171","0","Qatar","2832071","Asia","101.092","138648","237","5.472","236","0.009","Middle East & North Africa","0.631","87.986","","112.6","2.782","26435","11671","17.189","-2186263736.264","239.593","","75.498","14.232","","","","13.541","-10","39.9","0.205","0.41","0","0","-1.795","-1.108","2.707","0.44","-0.467","0.533","","21.415","83.571","0","-0.617","1","0","","","","2000","0","","0","19","","","0","31.7","0.085","0.746","0.095","","0.283","100","41.2","239.593","79.981","3.409","32.7","196.4","120","97.7","81.7","100","3205","0.9","38.8","48","3","","1.37","1.023","5.479","","","","","","","","","","","","","-41.2","","","","","","","","","","","34.267","0.167","","","","","","85.2","4.457","","","QAT","66","268","113","221"
"13","AZE","2020-11-30","11","29","2020","334","2020-11-30","4170","38","Azerbaijan","10047719","Europe","423.051","118195","1361","7.217","1131","0.195","Europe & Central Asia","-0.1","92.011","","16.011","9.94","256084","359716","14.639","1402998000","120.265","22.99","2.709","17.868","50.612","8.454","26.915","23.37","-7","","0.152","0.278","2","0.033","-0.764","-0.599","-1.404","0.508","-0.974","0.905","","16.168","81.337","0","0.687","1","0","","1857","255","255","0.004","","0","","","","0","29.7","0.06","0.205","0.49","0.188","0.694","2.9","34.2","120.265","72.693","2.077","45","340.2","470","99.8","65.6","89.3","238","0.8","17.9","25.5","10","0","6.195","2.297","4.79","","","","","","","","","","","","","","","","","","","","","","","","20.1","22.533","","","","","","136.924","4.927","","","AZE","70","264","101","233"
"166","SGP","2020-11-30","11","29","2020","334","2020-11-30","8","0","Singapore","5804343","Asia","1.619","58213","29","3.401","28","0.036","East Asia & Pacific","2.231","326.195","","90.091","5.639","303657","342722","17.514","82039577168.064","7952.998","100","45.392","0","","","","12.278","-2","38.962","0.426","0.662","0","0","-1.421","-0.204","2.261","0.778","2.838","0.009","","38.516","79.057","0","-0.997","2","0","","1281","184","184","0.005","","0","","238","","1","38.1","0.333","0.386","0.656","0.388","3.474","100","58.7","7952.998","82.895","3.935","64.5","227.6","240","97","90.6","100","2227","0.9","41.4","64.6","3","0","11.463","1.73","8.981","","","","","","","","","","","","","-59","","","","","","","","","","","27.467","175.133","","","","","","5.143","1.815","","","SGP","29","305","105","229"
"136","MYS","2020-11-30","11","29","2020","334","2020-11-30","1309","7","Malaysia","31949789","Asia","53.421","64485","357","5.881","335","0.054","East Asia & Pacific","1.075","130.503","","28.201","31.529","1025167","1078350","17.918","8570094242.95","95.963","23.991","8.289","2.358","","","","23.995","7","40.829","0.595","0.786","3","0.065","0.787","1.189","1.364","0.711","0.608","0.367","","8.538","75.193","0","-0.072","4","0","","","1176","1176","0.001","","0","2","5","","0","27.4","0.22","0.588","0.666","0.596","1.225","100","62.2","95.963","75.828","3.468","73.2","153.3","190","93.7","68.1","99.6","531","0.8","57.1","61.3","3","0","6.672","3.451","4.564","","","","","","","","","","","","","-50.4","","","","","","","","","","","26.2","231.667","","","","","","11.323","2.511","","","MYS","35","299","82","252"
"100","KAZ","2020-11-30","11","29","2020","334","2020-11-30","837","0","Kazakhstan","18551428","Asia","67.693","173806","2433","7.797","2372","0.027","Europe & Central Asia","0.022","62.818","","24.738","18.272","479282","871406","15.782","213804024.558","6.77","15.852","20.123","10.192","28.677","3.259","30.621","28.461","-6","26.467","0.532","0.798","5","0.324","-0.986","0.208","1.776","0.782","-0.401","0.729","","38.8","75.067","0","-0.464","1","0","111","1551","385","111","0.009","","0","","","","0","29.4","0.14","0.617","0.59","0.664","1.505","70","40.7","6.77","72.95","2.655","28.2","327.4","670","99.8","69.1","97.8","505","0.8","28","26.6","9","1","7.392","2.905","1.912","","","","","","","","","","","","","-27.2","","","","","","","","","","","15.4","19.567","","","","","","133.151","4.899","","","KAZ","76","258","101","233"
"178","SWE","2020-11-30","11","29","2020","334","2020-11-30","0","0","Sweden","10230185","Europe","634.28","243129","6681","8.807","6631","0.013","Europe & Central Asia","1.831","89.075","","47.718","10.175","947970","1096801","","9022400100.072","25.001","15.545","16.768","0","","9.219","","17.582","10","25.625","0","0","0","0","2.602","2.749","2.158","0.892","3.512","0.031","32.822","63.758","63.882","0","0.209","4","2","","","914","914","0.001","3.436","0","","5","","0","41","0.875","0.06","0.234","0.189","3.865","100","72.1","25.001","82.307","4.489","86","418.8","260","99.9","95.5","99.3","4498","0.9","49.3","62.8","0","1","20.096","2.32","3.219","","","","","","","","","","","","","3.6","","","","","","","","","","","9.333","64.533","","","","","","656.596","6.489","","","SWE","59","275","77","257"
"162","RWA","2020-11-30","11","29","2020","334","2020-11-30","28","1","Rwanda","12626938","Africa","3.675","5919","48","3.892","47","0.022","Sub-Saharan Africa","0.207","51.505","","1.998","12.302","148723","212730","13.886","305520733.844","498.66","8.599","3.803","0","10.784","8.424","20.088","39.976","-3","50.071","0.272","0.528","1","0.84","-2.156","-0.738","0.069","0.615","1.032","0.12","","16.634","63.523","0","-0.752","","0","1664","1607","1298","1298","0.001","","0","","","","0","18.2","0.159","0.324","0.507","0.18","2.516","91","34.2","498.66","68.341","3.46","36","6.4","160","70.8","36","62.3","44","0.5","24.1","31.9","15","1","2.938","2.51","6.212","","","","","","","","","","","","","-29.4","","","","","","","","","","","18.6","75.633","","","","","","3.902","1.59","","","RWA","78","256","231","103"
"106","KWT","2020-11-30","11","29","2020","334","2020-11-30","231","3","Kuwait","4207077","Asia","132.776","142426","878","6.779","866","0.014","Middle East & North Africa","-0.088","100.488","","64.684","4.137","64346","41180","15.682","-21377568.821","232.172","72.252","73.64","36.612","","","","21.539","-7","","0.537","0.797","0","0","0.789","0.444","2.584","0.762","1.635","0.454","","29.154","62.969","0","-0.686","1","0","","","218","218","0.005","","0","4","1","","0","29.2","0.274","0.66","0.674","0.708","2.266","100","46.1","232.172","75.311","3.49","47.5","260.8","200","96.1","80.7","100","2432","0.8","36.5","50.2","4","0","2.551","1.42","5.447","","","","","","","","","","","","","-57","","","","","","","","","","","34.233","2.133","","","","","","212.215","5.362","","","KWT","56","278","112","222"
"71","GHA","2020-11-30","11","29","2020","334","2020-11-30","190","0","Ghana","30417858","Africa","4.754","51569","323","5.781","323","0","Sub-Saharan Africa","-0.21","71.678","","4.212","29.767","419525","493999","13.055","2989035000","130.821","18.491","1.457","2.964","59.52","0.789","1.377","37.596","8","43.086","0.776","0.653","0","0","0.953","0.486","0.935","0.817","1.826","0.624","","4.961","58.698","0","-0.377","","","","271","271","271","0.004","","0","","","","0","20.6","0.55","0.673","0.799","0.846","2.081","73.9","35.5","130.821","63.463","2.926","40.5","9.6","90","71.5","39.3","14.3","73","0.6","23.4","31.5","11","0","3.069","3.393","4.874","","","","","","","","","","","","","-18.2","","","","","","","","","","","26.667","181.5","","","","","","10.851","2.472","","","GHA","79","255","115","219"
"102","KGZ","2020-11-30","11","29","2020","334","2020-11-30","380","5","Kyrgyzstan","6415851","Asia","90.775","72807","1271","7.148","1237","0.028","Europe & Central Asia","-0.612","101.122","23.6","3.447","6.323","108294","175893","13.472","144222600","32.929","","3.441","0.103","39.35","18.149","7.178","32.35","8","33.5","0.538","0.735","2","0.135","0.791","0.114","0.812","0.681","0.291","0.829","","37.725","57.937","0","-0.205","3","","","1313","207","207","0.005","","0","","","","0","24.6","0.323","0.675","0.447","0.679","2.91","83","49.3","32.929","71.2","1.89","64.7","185.4","450","99.2","60.6","96.6","94","0.7","29.8","49.9","12","1","4.495","1.844","3.494","","","","","","","","","","","","","-45.8","","","","","","","","","","","9.7","18.067","","","","","","201.019","5.308","","","KGZ","81","253","123","211"
"191","TUR","2020-11-30","11","29","2020","334","2020-11-30","6439","185","Turkey","82003882","Europe","97.645","494351","13558","9.515","12358","0.094","Europe & Central Asia","0.006","60.157","32.6","25.358","82.32","2970028","4013183","18.566","13061000000","106.96","36.855","3.769","0.056","36.06","24.7","17.96","24.649","-4","40.144","0.401","0.684","0","0","-0.707","-1.165","0.17","0.392","-1.232","0.721","20.538","12.008","57.928","1","-0.202","2","0","","1200","1200","1200","0.001","6.987","0","1","","","0","29.4","0.225","0.32","0.005","0.299","1.079","86","52.4","106.96","77.161","4.02","45.6","174.9","270","96.2","74.4","96.4","854","0.8","45.7","49","9","1","8.483","4.411","4.672","","","","","","","","","","","","","-33","","","","","","","","","","","19.4","32.133","","","","","","164.699","5.11","","","TUR","75","259","81","253"
"150","PHL","2020-11-30","11","29","2020","334","2020-11-30","2067","40","Philippines","108116622","Asia","20.372","429864","8373","9.033","8123","0.031","East Asia & Pacific","0.05","76.059","","7.943","106.652","2294705","3168706","17.579","9832332890.554","357.688","14.278","0.21","0.051","8.922","","33.83","30.963","8","40.217","0.254","0.448","2","0.126","1.563","-0.44","-0.996","0.836","-0.802","0.642","","2.833","56.594","1","0.897","5","0","789","789","789","789","0.001","","0","2","14","","0","23","0.413","0.239","0.306","0.161","2.42","82","47.6","357.688","70.952","4.553","63.6","111","100","96.4","51.2","75","108","0.7","38.2","43.8","14","1","5.123","4.67","5.88","","","","","","","","","","","","","-64.6","","","","","","","","","","","26.767","275.367","","","","","","78.508","4.376","","","PHL","68","266","75","259"
"23","BLR","2020-11-30","11","29","2020","334","2020-11-30","1684","8","Belarus","9452409","Europe","220.293","135008","1151","7.049","1096","0.05","Europe & Central Asia","-0.301","139.343","21.4","17.742","9.483","458688","949159","14.831","1426500000","46.729","21.134","11.404","0.515","49.988","31.575","54.081","16.866","-7","23.675","0.37","0.611","0","0","-0.782","-0.578","1.923","0.661","-0.916","0.281","","32.807","56.058","1","-0.627","3","","1359","214","1359","214","0.005","","0","","","","0","39.3","0.109","0.322","0.612","0.372","0.358","100","35.3","46.729","74.129","3.137","28.9","407","1100","99.6","79","94.3","707","0.8","40.6","46.6","5","0","14.845","2.25","3.844","","","","","","","","","","","","","-8.4","","","","","","","","","","","14.533","45.467","","","","","","121.369","4.807","","","BLR","71","263","97","237"
